baseline_model_id,candidate_model_id,audit_accuracy_delta,high_risk_miss_rate_delta,evidence_support_rate_delta,schema_compliance_delta,error_cases_delta
m2_sft,repair_sft_r3,-0.16600000000000004,0.17899589742907712,-0.12341464281300207,-0.14949999999999997,99.25
m3_dpo,repair_sft_r3,-0.061000000000000054,0.18436615367090223,-0.11859895253985897,-0.1429999999999999,52.75
m3v2_dpo,repair_sft_r3,-0.15700000000000003,0.1671100636638605,-0.11507846681497957,-0.1429999999999999,97.5
