model_id,json_validity,schema_compliance,field_em,risk_type_macro_f1,audit_accuracy,high_risk_miss_rate,false_manual_review_rate,evidence_support_rate,hallucination_rate,evidence_bbox_accuracy_relaxed,error_cases
m2_sft,1.0,0.8765000000000001,0.87555,0.7428589176991935,0.7735,0.2426641881460555,0.0,0.8035245025336795,0.000795374346077,0.7946957730812013,164.5
m3_dpo,1.0,0.87,0.868925,0.7527178775173624,0.6685,0.2372939319042304,0.0,0.7987088122605364,0.001423043740302,0.7902669478432827,211.0
m3v2_dpo,1.0,0.87,0.8690249999999999,0.7415230896190951,0.7645,0.25455002191127213,0.0,0.795188326535657,0.000609121307016875,0.7856899487084414,166.25
repair_sft_r3,1.0,0.7270000000000001,0.7263,0.6419773724877352,0.6074999999999999,0.4216600855751326,0.0,0.6801098597206774,0.01795550638281784,0.6736534884439501,263.75
