split,both_correct,both_wrong,m2_correct_m3v2_wrong,m2_wrong_m3v2_correct,audit_accuracy_m2,audit_accuracy_m3v2,audit_accuracy_delta,high_risk_miss_m2,high_risk_miss_m3v2,high_risk_miss_delta
test_clean,363,124,9,4,0.744,0.734,-0.010000000000000009,0.26956521739130435,0.28405797101449276,0.014492753623188415
test_robust,363,122,8,7,0.742,0.74,-0.0020000000000000018,0.2756598240469208,0.2785923753665689,0.0029325513196480912
test_unseen_template,358,121,13,8,0.742,0.732,-0.010000000000000009,0.27350427350427353,0.28774928774928776,0.014245014245014231
test_hard_negative,411,52,22,15,0.866,0.852,-0.014000000000000012,0.15192743764172337,0.16780045351473924,0.015873015873015872
