model_id,split,total_cases,json_validity,schema_compliance,field_em,risk_type_macro_f1,audit_accuracy,high_risk_miss_rate,false_manual_review_rate,evidence_support_rate,hallucination_rate,evidence_bbox_accuracy_relaxed,error_cases
m2_sft,test_clean,500,1.0,0.832,0.831,0.7795551833240276,0.744,0.2695652173913043,0.0,0.7472222222222222,0.0,0.7369444444444444,173
m2_sft,test_robust,500,1.0,0.81,0.8086,0.7983826268456978,0.742,0.2756598240469208,0.0,0.7266666666666667,0.0022883295194508,0.7230555555555556,176
m2_sft,test_unseen_template,500,1.0,0.864,0.8628,0.7542340569460673,0.742,0.2735042735042735,0.0,0.7753058954393771,0.0003585514521333,0.764460511679644,176
m2_sft,test_hard_negative,500,1.0,1.0,0.9998,0.6392638036809816,0.866,0.1519274376417233,0.0,0.9649032258064516,0.0005346164127238,0.9543225806451612,133
m3_dpo,test_clean,500,1.0,0.808,0.8068,0.8057703009288987,0.65,0.263768115942029,0.0,0.7266666666666667,0.0022883295194508,0.7158333333333333,227
m3_dpo,test_robust,500,1.0,0.804,0.8025,0.81470590572501,0.652,0.2639296187683284,0.0,0.7244444444444444,0.001531393568147,0.7222222222222222,203
m3_dpo,test_unseen_template,500,1.0,0.868,0.8666,0.7498085063495262,0.634,0.2763532763532763,0.0,0.7775305895439377,0.0010718113612004,0.7658509454949944,231
m3_dpo,test_hard_negative,500,1.0,1.0,0.9998,0.6405867970660147,0.738,0.1451247165532879,0.0,0.9661935483870968,0.0008006405124099,0.9571612903225808,183
m3v2_dpo,test_clean,500,1.0,0.816,0.8153,0.7812264392051625,0.734,0.2840579710144927,0.0,0.7311111111111112,0.0,0.7191666666666666,186
m3v2_dpo,test_robust,500,1.0,0.804,0.8027,0.8014930210869552,0.74,0.2785923753665689,0.0,0.7216666666666667,0.0015372790161414,0.7177777777777777,165
m3v2_dpo,test_unseen_template,500,1.0,0.86,0.8585,0.7472342843228765,0.732,0.2877492877492877,0.0,0.7666852057842046,0.0003625815808556,0.7563959955506118,183
m3v2_dpo,test_hard_negative,500,1.0,1.0,0.9996,0.6361386138613861,0.852,0.1678004535147392,0.0,0.9612903225806452,0.0005366246310705,0.9494193548387097,131
