model_id,split,total_cases,json_validity,schema_compliance,field_em,risk_type_macro_f1,audit_accuracy,high_risk_miss_rate,false_manual_review_rate,evidence_support_rate,hallucination_rate,evidence_bbox_accuracy_relaxed,error_cases
m3v2_dpo,test_clean,500,1.0,0.816,0.8153,0.7812264392051625,0.734,0.28405797101449276,0.0,0.7311111111111112,0.0,0.7191666666666666,186
m3v2_dpo,test_robust,500,1.0,0.804,0.8027,0.8014930210869552,0.74,0.2785923753665689,0.0,0.7216666666666667,0.0015372790161414297,0.7177777777777777,165
m3v2_dpo,test_unseen_template,500,1.0,0.86,0.8585,0.7472342843228765,0.732,0.28774928774928776,0.0,0.7666852057842046,0.00036258158085569254,0.7563959955506118,183
m3v2_dpo,test_hard_negative,500,1.0,1.0,0.9996,0.6361386138613861,0.852,0.16780045351473924,0.0,0.9612903225806452,0.0005366246310705661,0.9494193548387097,131
