epoch,global_step,loss,dpo_loss,sft_nll_loss,chosen_logp,rejected_logp,preference_margin,reference_drift,mean_batch_weight
1.0,1.0,0.699851393699646,0.6998513340950012,8.424290740549623e-07,-0.0008188410429283977,-128.18467712402344,-0.133636474609375,5.650368984788656e-05,1.0
1.0,2.0,0.649466872215271,0.6494668126106262,8.713897159395856e-07,-0.0008522191201336682,-125.27558898925781,0.8935623168945312,7.903191726654768e-05,1.0
1.0,3.0,0.5353031158447266,0.5353029370307922,1.7402417142875493e-06,-0.0019229671452194452,-119.32013702392578,3.4535980224609375,5.0055794417858124e-05,1.0
1.0,4.0,0.41007229685783386,0.4100721776485443,1.1351467037457041e-06,-0.0009081173338927329,-129.08001708984375,6.793891906738281,9.559601312503219e-05,1.0
1.0,5.0,0.35856500267982483,0.35856491327285767,9.521459105599206e-07,-0.0007483866647817194,-130.74264526367188,8.410118103027344,8.845055708661675e-05,1.0
1.0,6.0,0.4295617640018463,0.429561585187912,1.775284204086347e-06,-0.0014308791141957045,-142.8826446533203,6.2253265380859375,0.0007692608051002026,1.0
1.0,7.0,0.5019334554672241,0.5019333362579346,1.0836942010428174e-06,-0.0008593694656156003,-132.38461303710938,4.2784576416015625,2.740707714110613e-06,1.0
1.0,8.0,0.3231232464313507,0.32312312722206116,1.0921003195107915e-06,-0.001068074139766395,-136.1680450439453,9.638137817382812,5.4837437346577644e-06,1.0
1.0,9.0,0.3151755928993225,0.3151719868183136,3.610304702306166e-05,-0.03631966561079025,-139.9838409423828,9.929153442382812,0.003428027033805847,1.0
1.0,10.0,0.2044876664876938,0.20448756217956543,1.108159722207347e-06,-0.0008832032908685505,-138.70144653320312,14.832626342773438,9.845505701377988e-05,1.0
1.0,11.0,0.33315297961235046,0.3331528604030609,1.256041514352546e-06,-0.0009947848739102483,-143.00697326660156,9.279571533203125,4.8040528781712055e-05,1.0
1.0,12.0,0.22702614963054657,0.2270258218050003,3.263495500505087e-06,-0.0019548337440937757,-164.1226806640625,13.670318603515625,9.416742250323296e-05,1.0
1.0,13.0,0.1514526903629303,0.1512702852487564,0.0018240830395370722,-1.8295552730560303,-146.49508666992188,18.120986938476562,0.11061453819274902,1.0
1.0,14.0,0.16391140222549438,0.16391123831272125,1.666034449954168e-06,-0.0017576663522049785,-148.64144897460938,17.253555297851562,0.00020954373758286238,1.0
1.0,15.0,0.21770240366458893,0.2177020162343979,3.897735496138921e-06,-0.0024594711139798164,-162.48231506347656,14.138031005859375,0.00029659317806363106,1.0
1.0,16.0,0.09904315322637558,0.09904269129037857,4.655160864786012e-06,-0.004901884589344263,-153.16250610351562,22.62274169921875,4.600547254085541e-05,1.0
1.0,17.0,0.24366748332977295,0.243667334318161,1.4622693242927198e-06,-0.0015997226582840085,-147.5902099609375,12.876449584960938,0.0007320292061194777,1.0
1.0,18.0,0.05139955133199692,0.05139945447444916,9.714526640891563e-07,-0.0007616188959218562,-147.4706573486328,29.423179626464844,1.788040390238166e-05,1.0
1.0,19.0,0.03314650431275368,0.03314641863107681,8.630100865048007e-07,-0.0006809149635955691,-152.37045288085938,33.902015686035156,3.455555997788906e-06,1.0
1.0,20.0,0.11067523062229156,0.11067499965429306,2.311542857569293e-06,-0.001812249538488686,-156.41238403320312,21.453094482421875,0.00038736790884286165,1.0
1.0,21.0,0.14537577331066132,0.14537563920021057,1.2735449672618415e-06,-0.0010099211940541863,-158.02328491210938,18.548660278320312,2.9323273338377476e-05,1.0
1.0,22.0,0.03928661346435547,0.03928649425506592,1.1857482604682446e-06,-0.0009402983705513179,-157.5679168701172,32.171669006347656,1.5375320799648762e-05,1.0
1.0,23.0,0.1397360861301422,0.13973598182201385,1.1108436410722788e-06,-0.000878677295986563,-150.84051513671875,18.973190307617188,8.475687354803085e-05,1.0
1.0,24.0,0.022753719240427017,0.022753626108169556,9.326849976787344e-07,-0.000736821151804179,-162.55215454101562,37.71632385253906,4.292232915759087e-06,1.0
1.0,25.0,0.045442141592502594,0.04544200748205185,1.3366961866267957e-06,-0.001070693600922823,-158.4595947265625,30.68511199951172,8.70097428560257e-05,1.0
1.0,26.0,0.019915888085961342,0.019915707409381866,1.7989901834880584e-06,-0.0014194032410159707,-164.12362670898438,39.062721252441406,0.00026543333660811186,1.0
1.0,27.0,0.024008752778172493,0.024008655920624733,9.704825743028778e-07,-0.0007560059311799705,-156.14974975585938,37.173126220703125,2.7655682060867548e-05,1.0
1.0,28.0,0.12429634481668472,0.12429619580507278,1.5223943137243623e-06,-0.0016852904809638858,-149.3930206298828,20.22296142578125,0.0002451702021062374,1.0
1.0,29.0,0.022570695728063583,0.022287962958216667,0.0028273300267755985,-2.584179639816284,-167.1624298095703,37.925437927246094,0.23441743850708008,1.0
1.0,30.0,0.023865794762969017,0.023865675553679466,1.2010755199298728e-06,-0.0009524528868496418,-159.95065307617188,37.23357391357422,3.158394247293472e-05,1.0
1.0,31.0,0.027368636801838875,0.027368510141968727,1.2650441476580454e-06,-0.0013902834616601467,-150.52069091796875,35.846466064453125,0.0005466159200295806,1.0
1.0,32.0,0.054144103080034256,0.05414396524429321,1.395176695950795e-06,-0.001517952186986804,-159.89056396484375,28.889144897460938,2.1207029931247234e-05,1.0
1.0,33.0,0.01348616648465395,0.013486063107848167,1.033987814480497e-06,-0.0010050361743196845,-168.466796875,42.99347686767578,0.00014338188339024782,1.0
1.0,34.0,0.020151667296886444,0.020151542499661446,1.2532540267784498e-06,-0.0009863108862191439,-160.3202667236328,38.943817138671875,2.6699621230363846e-05,1.0
1.0,35.0,0.015233338810503483,0.015147924423217773,0.0008541397983208299,-0.8481608033180237,-168.0299835205078,41.823081970214844,0.3289622664451599,1.0
1.0,36.0,0.014354623854160309,0.014354486018419266,1.377056378260022e-06,-0.0013343676691874862,-170.1844482421875,42.36506652832031,0.00016196677461266518,1.0
1.0,37.0,0.013528366573154926,0.013528254814445972,1.1200323797311285e-06,-0.0008859455701895058,-161.60507202148438,42.96202850341797,3.340828698128462e-06,1.0
1.0,38.0,0.0622825101017952,0.06228238716721535,1.228269184139208e-06,-0.000954365124925971,-168.7249298095703,27.447738647460938,5.608017090708017e-06,1.0
1.0,39.0,0.05346709489822388,0.05346665158867836,4.427029580256203e-06,-0.0026208015624433756,-178.86776733398438,29.018447875976562,0.0001483734231442213,1.0
1.0,40.0,0.012389304116368294,0.012389015406370163,2.891673148042173e-06,-0.0022583967074751854,-168.0035858154297,43.847442626953125,0.00028856610879302025,1.0
1.0,41.0,0.03663908690214157,0.03620276227593422,0.004363256972283125,-2.9277455806732178,-185.5752716064453,33.004638671875,0.1285240650177002,1.0
1.0,42.0,0.025556396692991257,0.025555595755577087,8.006704774743412e-06,-0.005460572429001331,-183.1071319580078,36.54093933105469,0.0010469602420926094,1.0
1.0,43.0,0.013680987060070038,0.013670562766492367,0.00010424236097605899,-0.08005813509225845,-162.22511291503906,42.85667419433594,0.12215615063905716,1.0
1.0,44.0,0.034237347543239594,0.03423718735575676,1.6180607644855627e-06,-0.0017523597925901413,-168.53176879882812,33.57275390625,8.982268627732992e-05,1.0
1.0,45.0,0.008853543549776077,0.008853396400809288,1.4745212411071407e-06,-0.0011427539866417646,-164.0225830078125,47.225242614746094,0.000293287739623338,1.0
1.0,46.0,0.010969399474561214,0.010969312861561775,8.618803235549422e-07,-0.0006817473331466317,-169.54689025878906,45.07164001464844,1.0249321348965168e-05,1.0
1.0,47.0,0.0077302101999521255,0.0077301207929849625,8.942812428358593e-07,-0.0007055879104882479,-174.28244018554688,48.58763122558594,4.766916390508413e-06,1.0
1.0,48.0,0.008260183967649937,0.008260072208940983,1.119267267313262e-06,-0.0012356711085885763,-163.693115234375,47.92189025878906,0.0010685182642191648,1.0
1.0,49.0,0.009647253900766373,0.009647159837186337,9.387597401655512e-07,-0.0007284775492735207,-167.9754180908203,46.362640380859375,2.8727459721267223e-05,1.0
1.0,50.0,0.039662860333919525,0.03966272994875908,1.3143850310370908e-06,-0.0010541367810219526,-168.68255615234375,32.074462890625,0.00010214874055236578,1.0
1.0,51.0,0.012608570046722889,0.012608484365046024,8.548014420739491e-07,-0.0006710191373713315,-163.79351806640625,43.670745849609375,1.2399221304804087e-05,1.0
