epoch,global_step,loss,chosen_logp,rejected_logp,preference_margin
1.0,1.0,0.6877865195274353,-0.0008737894240766764,-50.337337493896484,0.10750198364257812
1.0,2.0,0.6459311842918396,-0.004878525622189045,-40.6518669128418,0.9677238464355469
1.0,3.0,0.6314179301261902,-0.0016818364383652806,-47.60146713256836,1.2752113342285156
1.0,4.0,0.37489864230155945,-0.00234970822930336,-63.37310791015625,7.878009796142578
1.0,5.0,0.19893169403076172,-0.009527073241770267,-196.6852569580078,15.136795043945312
1.0,6.0,0.6920925974845886,-0.9767088294029236,-38.762935638427734,0.0211029052734375
1.0,7.0,0.13888056576251984,-0.0007285972824320197,-156.16578674316406,19.038970947265625
1.0,8.0,0.16303537786006927,-0.0022410822566598654,-74.05094909667969,17.311630249023438
1.0,9.0,0.4956378936767578,-0.0009703364921733737,-44.257102966308594,4.438758850097656
1.0,10.0,0.04424541816115379,-0.0708855614066124,-169.88644409179688,30.957992553710938
1.0,11.0,0.0411851666867733,-0.0021969343069940805,-141.90130615234375,31.690139770507812
1.0,12.0,0.14987121522426605,-0.0012078993022441864,-64.57469940185547,18.22107696533203
1.0,13.0,0.007875469513237476,-0.0016871262341737747,-192.751953125,48.40061950683594
1.0,14.0,0.3503738343715668,-0.0010712957009673119,-48.438560485839844,8.684577941894531
1.0,15.0,0.02981186844408512,-0.0018125110073015094,-89.23786163330078,34.97905731201172
1.0,16.0,0.31524232029914856,-0.0008942700806073844,-49.187950134277344,9.926551818847656
1.0,17.0,0.009151236154139042,-0.0033737760968506336,-97.54397583007812,46.89287185668945
1.0,18.0,0.02383725345134735,-0.004978456534445286,-99.9183578491211,37.24563217163086
1.0,19.0,0.005704945418983698,-0.0009033491369336843,-209.2015838623047,51.63568115234375
1.0,20.0,0.23210257291793823,-0.0009095391142182052,-51.9520149230957,13.422809600830078
1.0,21.0,0.006089913193136454,-0.0015809041215106845,-78.631103515625,50.98074722290039
1.0,22.0,0.19412176311016083,-0.4261370003223419,-53.14426040649414,15.406391143798828
1.0,23.0,0.0020468030124902725,-0.001145866117440164,-196.29672241210938,61.90452575683594
1.0,24.0,0.0032416116446256638,-0.00763147184625268,-98.81553649902344,57.30063247680664
1.0,25.0,0.0018329632002860308,-0.0009895124239847064,-198.44338989257812,63.00904846191406
1.0,26.0,0.0009289236622862518,-0.0011382782831788063,-208.4798126220703,69.81019592285156
1.0,27.0,0.02734323777258396,-0.0038894633762538433,-80.79080963134766,35.855831146240234
1.0,28.0,0.0006612538709305227,-0.7322835326194763,-234.46270751953125,73.21041870117188
1.0,29.0,0.004055004101246595,-0.01211307942867279,-166.71206665039062,55.05775451660156
1.0,30.0,0.010414655320346355,-0.001367740100249648,-93.3228530883789,45.593292236328125
1.0,31.0,0.0014561545103788376,-0.003046412253752351,-116.00160217285156,65.3122787475586
1.0,32.0,0.0013895451556891203,-0.00608431501314044,-116.35099792480469,65.78083801269531
1.0,33.0,0.0001656816602917388,-0.016640903428196907,-226.04856872558594,87.0535888671875
1.0,34.0,0.0019263747381046414,-0.0018307591089978814,-87.27267456054688,62.51152038574219
1.0,35.0,0.013471392914652824,-0.0013753555249422789,-85.05545043945312,43.00443649291992
1.0,36.0,0.002625588094815612,-0.00150636478792876,-90.74288177490234,59.411373138427734
1.0,37.0,0.0013033872237429023,-0.004100993275642395,-119.15916442871094,66.42137145996094
1.0,38.0,0.004459264222532511,-0.008974871598184109,-106.8908920288086,54.105411529541016
1.0,39.0,0.002595508238300681,-0.771133303642273,-172.9836883544922,59.52674865722656
1.0,40.0,0.0025424021296203136,-0.008959337137639523,-129.2330322265625,59.733741760253906
1.0,41.0,0.0011998881818726659,-0.0022431600373238325,-211.7047119140625,67.249267578125
1.0,42.0,0.0046095894649624825,-6.106614112854004,-109.34732818603516,53.77310562133789
1.0,43.0,0.004597727674990892,-0.1347913146018982,-103.8315200805664,53.79893112182617
1.0,44.0,0.026415832340717316,-0.0010550722945481539,-68.12857818603516,36.20554733276367
1.0,45.0,0.00028229961753822863,-0.0016270657069981098,-220.30422973632812,81.7239990234375
1.0,46.0,0.006246349774301052,-0.0017762865172699094,-97.22480773925781,50.72633361816406
1.0,47.0,0.0004116712079849094,-0.005367724224925041,-126.92620086669922,77.95079803466797
1.0,48.0,0.002347145928069949,-2.7032430171966553,-108.96055603027344,60.5338134765625
1.0,49.0,0.0001689224154688418,-0.03970188647508621,-268.1034851074219,86.85986328125
1.0,50.0,0.0002967959444504231,-0.06615807861089706,-215.71739196777344,81.22317504882812
1.0,51.0,0.0002938719990197569,-3.221316337585449,-244.73104858398438,81.32218933105469
1.0,52.0,0.0013793238904327154,-0.002103830222040415,-179.62533569335938,65.85472106933594
