chosen_logp,dpo_loss,epoch,examples,global_step,holdout_chosen_logp,holdout_chosen_nll,holdout_pair_accuracy,holdout_preference_margin,holdout_reference_drift,holdout_rejected_logp,ipo_target_margin,logprob_normalization,loss,loss_type,mean_batch_weight,preference_loss,preference_margin,reference_drift,rejected_logp,sft_nll_loss,stage
-0.056841298937797546,0.6932082772254944,1.0,,1.0,,,,,,,0.0,mean_token,0.6960503458976746,dpo,1.0,0.6932082772254944,-0.0006110817193984985,0.0007902979850769043,-0.2306710034608841,0.056841298937797546,dpo_train
-0.09354209899902344,0.6925021409988403,1.0,,5.0,,,,,,,0.0,mean_token,0.6971792578697205,dpo,1.0,0.6925021409988403,0.006452590227127075,0.0014207139611244202,-0.2763858735561371,0.09354209899902344,dpo_train
-0.011739530600607395,0.6929267048835754,1.0,,10.0,,,,,,,0.0,mean_token,0.6935136914253235,dpo,1.0,0.6929267048835754,0.0022051557898521423,0.0008383635431528091,-0.09516686946153641,0.011739530600607395,dpo_train
,,,8.0,10.0,-0.04802703857421875,0.04802703857421875,1.0,0.0079345703125,0.001312255859375,-0.17266845703125,,,,,,,,,,,dpo_holdout
-0.0831301286816597,0.6908102631568909,1.0,,15.0,,,,,,,0.0,mean_token,0.6949667930603027,dpo,1.0,0.6908102631568909,0.023396700620651245,0.003141075372695923,-0.28368398547172546,0.0831301286816597,dpo_train
-0.010366959497332573,0.6925155520439148,1.0,,20.0,,,,,,,0.0,mean_token,0.6930338740348816,dpo,1.0,0.6925155520439148,0.006318636238574982,0.001871802844107151,-0.09624654054641724,0.010366959497332573,dpo_train
,,,8.0,20.0,-0.0483551025390625,0.0483551025390625,1.0,0.0174560546875,0.00281524658203125,-0.182373046875,,,,,,,,,,,dpo_holdout
-0.06423137336969376,0.692628026008606,1.0,,25.0,,,,,,,0.0,mean_token,0.6958395838737488,dpo,1.0,0.692628026008606,0.005192749202251434,0.0031296759843826294,-0.09457280486822128,0.06423137336969376,dpo_train
-0.0632280707359314,0.6880090236663818,1.0,,30.0,,,,,,,0.0,mean_token,0.6911704540252686,dpo,1.0,0.6880090236663818,0.05151459574699402,0.0028220266103744507,-0.29446959495544434,0.0632280707359314,dpo_train
,,,8.0,30.0,-0.05013275146484375,0.05013275146484375,1.0,0.0272216796875,0.00592041015625,-0.19403076171875,,,,,,,,,,,dpo_holdout
-0.10192038863897324,0.6868414282798767,2.0,,35.0,,,,,,,0.0,mean_token,0.6919374465942383,dpo,1.0,0.6868414282798767,0.06325772404670715,0.009799003601074219,-0.34156930446624756,0.10192038863897324,dpo_train
-0.009459727443754673,0.6914510130882263,2.0,,40.0,,,,,,,0.0,mean_token,0.691923975944519,dpo,1.0,0.6914510130882263,0.01697622239589691,0.0031181667000055313,-0.10765813291072845,0.009459727443754673,dpo_train
,,,8.0,40.0,-0.05066680908203125,0.05066680908203125,1.0,0.03985595703125,0.0073394775390625,-0.2071533203125,,,,,,,,,,,dpo_holdout
