chosen_logp,dpo_loss,epoch,examples,global_step,holdout_chosen_logp,holdout_chosen_nll,holdout_pair_accuracy,holdout_preference_margin,holdout_reference_drift,holdout_rejected_logp,ipo_target_margin,logprob_normalization,loss,loss_type,mean_batch_weight,preference_loss,preference_margin,reference_drift,rejected_logp,sft_nll_loss,stage
-0.06166171655058861,0.6559464931488037,1.0,,1.0,,,,,,,0.0,mean_token,0.6682788133621216,dpo,1.0,0.6559464931488037,0.07583893835544586,0.005610715597867966,-0.3119414448738098,0.06166171655058861,dpo_train
-0.1044405922293663,0.6242116093635559,1.0,,5.0,,,,,,,0.0,mean_token,0.6450996994972229,dpo,1.0,0.6242116093635559,0.14297747611999512,0.012319207191467285,-0.4238092601299286,0.1044405922293663,dpo_train
,,,8.0,5.0,-0.0523529052734375,0.0523529052734375,1.0,0.0721435546875,0.01078033447265625,-0.2413330078125,,,,,,,,,,,dpo_holdout
-0.006156485062092543,0.6752643585205078,1.0,,10.0,,,,,,,0.0,mean_token,0.6764956712722778,dpo,1.0,0.6752643585205078,0.036091290414333344,0.006421409081667662,-0.12346995621919632,0.006156485062092543,dpo_train
,,,8.0,10.0,-0.055820465087890625,0.055820465087890625,1.0,0.10430908203125,0.016956329345703125,-0.27667236328125,,,,,,,,,,,dpo_holdout
-0.11220914125442505,0.5669965744018555,1.0,,15.0,,,,,,,0.0,mean_token,0.5894383788108826,dpo,1.0,0.5669965744018555,0.27054429054260254,0.03222008794546127,-0.5599105954170227,0.11220914125442505,dpo_train
,,,8.0,15.0,-0.05857086181640625,0.05857086181640625,1.0,0.13531494140625,0.0232391357421875,-0.3106689453125,,,,,,,,,,,dpo_holdout
-0.0008822259842418134,0.6549745798110962,1.0,,20.0,,,,,,,0.0,mean_token,0.6551510095596313,dpo,1.0,0.6549745798110962,0.07786046713590622,0.01135653629899025,-0.1583036333322525,0.0008822259842418134,dpo_train
,,,8.0,20.0,-0.06432151794433594,0.06432151794433594,1.0,0.169921875,0.031158447265625,-0.35064697265625,,,,,,,,,,,dpo_holdout
