model_id,split,total_cases,json_validity,schema_compliance,field_em,risk_type_macro_f1,audit_accuracy,high_risk_miss_rate,false_manual_review_rate,evidence_support_rate,hallucination_rate,evidence_bbox_accuracy_relaxed,error_cases
m3_dpo,test_clean,500,1.0,0.808,0.8068,0.8057703009288987,0.65,0.263768115942029,0.0,0.7266666666666667,0.002288329519450801,0.7158333333333333,227
m3_dpo,test_robust,500,1.0,0.804,0.8025,0.81470590572501,0.652,0.26392961876832843,0.0,0.7244444444444444,0.0015313935681470138,0.7222222222222222,203
m3_dpo,test_unseen_template,500,1.0,0.868,0.8666,0.7498085063495262,0.634,0.27635327635327633,0.0,0.7775305895439377,0.0010718113612004287,0.7658509454949944,231
m3_dpo,test_hard_negative,500,1.0,1.0,0.9998,0.6405867970660147,0.738,0.14512471655328799,0.0,0.9661935483870968,0.0008006405124099279,0.9571612903225807,183
