split,m2_json_validity,m3_json_validity,delta_m3_minus_m2_json_validity,m2_schema_compliance,m3_schema_compliance,delta_m3_minus_m2_schema_compliance,m2_field_em,m3_field_em,delta_m3_minus_m2_field_em,m2_risk_type_macro_f1,m3_risk_type_macro_f1,delta_m3_minus_m2_risk_type_macro_f1,m2_audit_accuracy,m3_audit_accuracy,delta_m3_minus_m2_audit_accuracy,m2_high_risk_miss_rate,m3_high_risk_miss_rate,delta_m3_minus_m2_high_risk_miss_rate,m2_false_manual_review_rate,m3_false_manual_review_rate,delta_m3_minus_m2_false_manual_review_rate,m2_evidence_support_rate,m3_evidence_support_rate,delta_m3_minus_m2_evidence_support_rate,m2_hallucination_rate,m3_hallucination_rate,delta_m3_minus_m2_hallucination_rate,m2_evidence_bbox_accuracy_relaxed,m3_evidence_bbox_accuracy_relaxed,delta_m3_minus_m2_evidence_bbox_accuracy_relaxed,m2_error_cases,m3_error_cases,delta_m3_minus_m2_error_cases
test_clean,1.0,1.0,0.0,0.832,0.808,-0.02399999999999991,0.831,0.8068,-0.0242,0.7795551833240276,0.8057703009288987,0.026215117604871052,0.744,0.65,-0.09399999999999997,0.26956521739130435,0.263768115942029,-0.005797101449275366,0.0,0.0,0.0,0.7472222222222222,0.7266666666666667,-0.02055555555555555,0.0,0.002288329519450801,0.002288329519450801,0.7369444444444444,0.7158333333333333,-0.02111111111111108,173.0,227.0,54.0
test_robust,1.0,1.0,0.0,0.81,0.804,-0.006000000000000005,0.8086,0.8025,-0.006099999999999994,0.7983826268456978,0.81470590572501,0.016323278879312175,0.742,0.652,-0.08999999999999997,0.2756598240469208,0.26392961876832843,-0.011730205278592365,0.0,0.0,0.0,0.7266666666666667,0.7244444444444444,-0.0022222222222222365,0.002288329519450801,0.0015313935681470138,-0.0007569359513037871,0.7230555555555556,0.7222222222222222,-0.0008333333333333526,176.0,203.0,27.0
test_unseen_template,1.0,1.0,0.0,0.864,0.868,0.0040000000000000036,0.8628,0.8666,0.0038000000000000256,0.7542340569460673,0.7498085063495262,-0.004425550596541039,0.742,0.634,-0.10799999999999998,0.27350427350427353,0.27635327635327633,0.002849002849002802,0.0,0.0,0.0,0.7753058954393771,0.7775305895439377,0.0022246941045606095,0.00035855145213338117,0.0010718113612004287,0.0007132599090670475,0.764460511679644,0.7658509454949944,0.0013904338153504225,176.0,231.0,55.0
test_hard_negative,1.0,1.0,0.0,1.0,1.0,0.0,0.9998,0.9998,0.0,0.6392638036809816,0.6405867970660147,0.0013229933850331665,0.866,0.738,-0.128,0.15192743764172337,0.14512471655328799,-0.006802721088435382,0.0,0.0,0.0,0.9649032258064516,0.9661935483870968,0.001290322580645209,0.0005346164127238706,0.0008006405124099279,0.0002660240996860573,0.9543225806451613,0.9571612903225807,0.002838709677419393,133.0,183.0,50.0
