chosen_logp,dpo_loss,epoch,global_step,ipo_target_margin,loss,loss_type,mean_batch_weight,preference_loss,preference_margin,reference_drift,rejected_logp,sft_nll_loss
-0.0008729604887776077,0.8061297535896301,1.0,1.0,0.0,0.8061298727989197,dpo,1.0,0.8061297535896301,-2.1448593139648438,2.3842439986765385e-06,-126.17350006103516,8.98107487046218e-07
-0.0008937031379900873,0.6427578926086426,1.0,2.0,0.0,0.6427580118179321,dpo,1.0,0.6427578926086426,1.0345306396484375,3.7547899410128593e-05,-125.41659545898438,9.13806900371128e-07
-0.0020470404997467995,0.5526310205459595,1.0,3.0,0.0,0.5526311993598938,dpo,1.0,0.5526310205459595,3.0405654907226562,7.401756010949612e-05,-118.9072265625,1.8525253153711674e-06
-0.0010131308808922768,0.3831314444541931,1.0,4.0,0.0,0.38313156366348267,dpo,1.0,0.3831314444541931,7.617027282714844,9.417533874511719e-06,-129.9032440185547,1.26641361930524e-06
-0.0007946382975205779,0.39846736192703247,1.0,5.0,0.0,0.39846745133399963,dpo,1.0,0.39846736192703247,7.142890930175781,4.219892434775829e-05,-129.4754638671875,1.010990217764629e-06
-0.0013357868883758783,0.44573014974594116,1.0,6.0,0.0,0.4457303285598755,dpo,1.0,0.44573014974594116,5.7691192626953125,0.0008643530309200287,-142.4263458251953,1.6573038692513364e-06
-0.000844111607875675,0.499619722366333,1.0,7.0,0.0,0.49961984157562256,dpo,1.0,0.499619722366333,4.337188720703125,1.2517150025814772e-05,-132.44332885742188,1.064453499566298e-06
-0.0010871478589251637,0.30970102548599243,1.0,8.0,0.0,0.309701144695282,dpo,1.0,0.30970102548599243,10.133041381835938,2.4557462893426418e-05,-136.6629638671875,1.111603182835097e-06
-0.03235529363155365,0.3507070243358612,1.0,9.0,0.0,0.3507102429866791,dpo,1.0,0.3507070243358612,8.673309326171875,0.0005363449454307556,-138.72402954101562,3.2162319257622585e-05
-0.0009404164738953114,0.21050244569778442,1.0,10.0,0.0,0.21050256490707397,dpo,1.0,0.21050244569778442,14.511611938476562,4.124187398701906e-05,-138.3804931640625,1.17994534321042e-06
-0.0010109971044585109,0.3734227418899536,1.0,11.0,0.0,0.37342286109924316,dpo,1.0,0.3734227418899536,7.92529296875,3.182829823344946e-05,-141.6527099609375,1.2765115116053494e-06
-0.001803924678824842,0.24153901636600494,1.0,12.0,0.0,0.24153931438922882,dpo,1.0,0.24153901636600494,12.975250244140625,5.674164276570082e-05,-163.42745971679688,3.011560465893126e-06
-2.1529242992401123,0.13571323454380035,1.0,13.0,0.0,0.13592788577079773,dpo,1.0,0.13571323454380035,19.285873413085938,0.212754487991333,-147.98333740234375,0.0021464847959578037
-0.0016658797394484282,0.16962063312530518,1.0,14.0,0.0,0.1696207970380783,dpo,1.0,0.16962063312530518,16.881820678710938,0.0003013303503394127,-148.26962280273438,1.5790329825904337e-06
-0.002672814764082432,0.23845292627811432,1.0,15.0,0.0,0.23845334351062775,dpo,1.0,0.23845292627811432,13.119888305664062,8.32495279610157e-05,-161.46438598632812,4.235839696775656e-06
-0.004253007005900145,0.12170868366956711,1.0,16.0,0.0,0.12170908600091934,dpo,1.0,0.12170868366956711,20.446533203125,0.0006948830559849739,-150.98565673828125,4.038943188788835e-06
-0.0015761199174448848,0.1909599006175995,1.0,17.0,0.0,0.19096004962921143,dpo,1.0,0.1909599006175995,15.586929321289062,0.0007556319469586015,-150.3006591796875,1.4406946320377756e-06
-0.0007536314660683274,0.05185612663626671,1.0,18.0,0.0,0.05185622349381447,dpo,1.0,0.05185612663626671,29.332420349121094,2.5867833755910397e-05,-147.3798828125,9.612646181267337e-07
-0.0006941471947357059,0.03090214543044567,1.0,19.0,0.0,0.030902232974767685,dpo,1.0,0.03090214543044567,34.61438751220703,1.6687787137925625e-05,-153.08282470703125,8.797809982752369e-07
-0.0021788254380226135,0.10213559120893478,1.0,20.0,0.0,0.10213586688041687,dpo,1.0,0.10213559120893478,22.299514770507812,2.0792009308934212e-05,-157.25917053222656,2.7791140837507555e-06
-0.0009828615002334118,0.16983072459697723,1.0,21.0,0.0,0.16983084380626678,dpo,1.0,0.16983072459697723,16.868362426757812,2.2635795176029205e-06,-156.34295654296875,1.2394218629196985e-06
-0.0008932148339226842,0.038932304829359055,1.0,22.0,0.0,0.03893241658806801,dpo,1.0,0.038932304829359055,32.264015197753906,3.1708215828984976e-05,-157.66021728515625,1.126374286286591e-06
-0.0009573522256687284,0.12470649182796478,1.0,23.0,0.0,0.12470661103725433,dpo,1.0,0.12470649182796478,20.187911987304688,6.081943865865469e-06,-152.05531311035156,1.2103062090318417e-06
-0.0007485025562345982,0.02374548278748989,1.0,24.0,0.0,0.023745577782392502,dpo,1.0,0.02374548278748989,37.28466796875,7.38917151466012e-06,-162.12051391601562,9.474715625401586e-07
-0.0011430437443777919,0.04486864432692528,1.0,25.0,0.0,0.04486878588795662,dpo,1.0,0.04486864432692528,30.814979553222656,1.4659599401056767e-05,-158.58953857421875,1.4270209476308082e-06
-0.0022088843397796154,0.021689854562282562,1.0,26.0,0.0,0.021690133959054947,dpo,1.0,0.021689854562282562,38.200462341308594,0.0005240477621555328,-163.2621612548828,2.79959999716084e-06
-0.0007717382977716625,0.02112533338367939,1.0,27.0,0.0,0.0211254321038723,dpo,1.0,0.02112533338367939,38.467010498046875,1.1923315469175577e-05,-157.4436492919922,9.90678131529421e-07
-0.001779430196620524,0.10677385330200195,1.0,28.0,0.0,0.10677401721477509,dpo,1.0,0.10677385330200195,21.831802368164062,0.00033930991776287556,-151.00196838378906,1.6074346831373987e-06
-3.0530428886413574,0.02577444724738598,1.0,29.0,0.0,0.026108477264642715,dpo,1.0,0.02577444724738598,36.454566955566406,0.23444581031799316,-166.16041564941406,0.0033403094857931137
-0.0008812921005301178,0.021973397582769394,1.0,30.0,0.0,0.021973509341478348,dpo,1.0,0.021973397582769394,38.06916046142578,3.957684384658933e-05,-160.7861785888672,1.111339315684745e-06
-0.0013800389133393764,0.02806616574525833,1.0,31.0,0.0,0.02806629054248333,dpo,1.0,0.02806616574525833,35.59124755859375,0.0005568604683503509,-150.2654571533203,1.2557223953990615e-06
-0.0014669381780549884,0.06020737439393997,1.0,32.0,0.0,0.06020750850439072,dpo,1.0,0.06020737439393997,27.79705810546875,2.980697900056839e-05,-158.79843139648438,1.3482887197824311e-06
-0.0009181372006423771,0.014354350976645947,1.0,33.0,0.0,0.014354445040225983,dpo,1.0,0.014354350976645947,42.36516571044922,0.0002302808570675552,-167.83839416503906,9.445856221645954e-07
-0.0009457815904170275,0.020122582092881203,1.0,34.0,0.0,0.020122703164815903,dpo,1.0,0.020122582092881203,38.958343505859375,6.722891703248024e-05,-160.33474731445312,1.2017554809062858e-06
-0.7257649898529053,0.013098979368805885,1.0,35.0,0.0,0.013172067701816559,dpo,1.0,0.013098979368805885,43.286643981933594,0.2065664529800415,-169.37115478515625,0.0007308811764232814
-0.001084430725313723,0.016644151881337166,1.0,36.0,0.0,0.01664426364004612,dpo,1.0,0.016644151881337166,40.873626708984375,8.797016926109791e-05,-168.69276428222656,1.1191235671503819e-06
-0.0008038165397010744,0.010670526884496212,1.0,37.0,0.0,0.010670628398656845,dpo,1.0,0.010670526884496212,45.34929656982422,8.546985918655992e-05,-163.9922637939453,1.0162029866478406e-06
-0.0009730790043249726,0.05277717486023903,1.0,38.0,0.0,0.05277730152010918,dpo,1.0,0.05277717486023903,29.151718139648438,1.3105862308293581e-05,-170.42892456054688,1.2523539680842077e-06
-0.0023743491619825363,0.0512164868414402,1.0,39.0,0.0,0.051216889172792435,dpo,1.0,0.0512164868414402,29.459762573242188,9.807897731661797e-05,-179.308837890625,4.010724751424277e-06
-0.001996152102947235,0.0121369119733572,1.0,40.0,0.0,0.012137167155742645,dpo,1.0,0.0121369119733572,44.054290771484375,2.632150426506996e-05,-168.21017456054688,2.5558924789947923e-06
